Transaction_ID,Date,Region,Category,Product,Item,Customer_ID,Units_Sold,Unit_Price,Total_Sales
TX0037,2025-06-10,Central,Grocery,Cereal,ITM-568535,C1933,3.0,22.4,67.2
TX0268,2025-06-06,West,Electronics,Tablet,ITM-316750,C1338,3.0,436.26,1308.78
TX0050,2025-01-26,East,Beauty,Shampoo,ITM-317314,C1248,3.0,40.69,122.07
TX0003,2025-03-30,  Central  ,Electronics,Laptop,ITM-409066,C1315,3.0,369.99,1109.97
TX0064,2025-05-07,North,Beauty,Lotion,ITM-371365,C1105,5.0,30.95,154.75
TX0243,2025-04-06,North,Electronics,Tablet,ITM-445783,C1127,6.0,316.86,1901.16
TX0060,2025-05-14,Central,Beauty,Lotion,ITM-242867,C1578,6.0,45.24,271.44
TX0200,2025-05-25,West,Electronics,Tablet,ITM-241449,C1108,2.0,346.76,693.52
TX0108,2025-04-27,North,,Chair,ITM-275595,C1865,5.0,175.09,875.45
TX0197,2025-05-12,North,Electronics,Laptop,ITM-306486,C1624,6.0,467.93,2807.58
TX0225,2025-01-17,Central,Home Goods,Cookware,ITM-892330,C1570,1.0,95.67,95.67
TX0159,2025-04-19,South,Beauty,Shampoo,ITM-873720,C1075,3.0,56.68,170.04
TX0173,2025-02-01,North,Home Goods,Chair,ITM-717614,C1648,6.0,110.71,664.26
TX0052,2025-04-29,South,Clothing,Jeans,ITM-585514,C1484,4.0,71.53,286.12
TX0016,2025-05-24,East,Home Goods,Chair,ITM-118074,C1345,4.0,122.3,489.2
TX0011,2025-01-03,East,Home Goods,Lamp,ITM-189037,C1358,3.0,92.91,278.73
TX0112,2025-01-28,North,Electronics,Laptop,ITM-837463,C1120,,,1571.72
TX0257,2025-02-27,North,Home Goods,Bedding,ITM-279689,C1362,6.0,71.84,431.04
TX0033,2025-05-03,Central,Clothing,Jeans,ITM-306548,C1468,6.0,60.42,18000
TX0204,2025-04-18,West,Beauty,Shampoo,ITM-680086,C1747,4.0,74.52,298.08
TX0008,2025-05-22,East,Grocery,Pasta,ITM-331182,C1870,5.0,23.01,115.05
TX0214,2025-04-03,,Grocery,Pasta,ITM-527244,C1153,9.0,19.36,174.24
TX0279,2025-01-20,West,Beauty,Shampoo,ITM-479653,C1651,2.0,52.04,104.08
TX0238,2025-02-26,West,Beauty,Lotion,ITM-588029,C1649,3.0,81.52,244.56
TX0143,2025-02-21,East,Beauty,Fragrance,ITM-918731,C1623,3.0,62.95,188.85
TX0232,2025-03-07,South,Beauty,Fragrance,ITM-589415,C1566,4.0,41.89,167.56
TX0093,2025-01-13,North,Beauty,Fragrance,ITM-452103,C1045,2.0,51.27,102.54
TX0005,2025-02-09,West,Electronics,Tablet,ITM-824687,C1724,4.0,225.99,903.96
TX0178,2025-05-05,Central,Grocery,Pasta,ITM-125901,C1271,2.0,20.58,41.16
TX0138,2025-02-12,South,Beauty,Shampoo,ITM-897135,C1253,4.0,47.13,188.52
TX0057,2025-02-04,East,Beauty,  Makeup  ,ITM-420961,C1512,7.0,64.33,450.31
TX0114,2025-06-10,  Central  ,Grocery,Cereal,ITM-450679,C1690,3.0,18.9,56.7
TX0087,2025-02-26,East,Grocery,Apples,ITM-609421,C1217,4.0,18.33,73.32
TX0135,2025-01-07,East,Home Goods,Lamp,ITM-207524,C1947,6.0,50.21,301.26
TX0277,2025-04-11,Central,Electronics,Tablet,ITM-952557,C1339,5.0,403.75,2018.75
TX0278,2025-02-25,North,Beauty,Shampoo,ITM-317516,C1365,3.0,21.53,64.59
TX0194,2025-02-18,North,Grocery,Pasta,ITM-874107,C1126,2.0,34.07,68.14
TX0062,2025-06-29,East,Electronics,Tablet,ITM-634522,C1695,4.0,554.36,2217.44
TX0044,2025-04-28,West,Beauty,Lotion,ITM-952159,C1770,4.0,68.12,272.48
TX0054,2025-03-11,West,Beauty,Makeup,ITM-420304,C1502,5.0,73.64,
TX0102,2025-02-15,South,Home Goods,Chair,ITM-899687,C1671,6.0,176.66,1059.96
TX0103,2025-06-15,Central,Beauty,Fragrance,ITM-235639,C1870,5.0,45.94,229.7
TX0051,2025-02-25,Central,Grocery,Coffee,ITM-637970,C1882,7.0,18.25,127.75
TX0122,2025-02-21,West,Clothing,Jeans,ITM-428953,C1493,3.0,54.95,164.85
TX0242,2025-06-18,North,Home Goods,  Chair  ,ITM-450164,C1476,4.0,113.66,454.64
TX0116,2025-05-25,North,Clothing,Jacket,ITM-352557,C1537,8.0,41.23,329.84
TX0283,2025-03-16,North,Grocery,Pasta,ITM-666510,C1276,10.0,26.11,261.1
TX0097,2025-04-29,South,Electronics,Laptop,ITM-367136,C1796,5.0,299.7,1498.5
TX0288,2025-01-11,South,Home Goods,Lamp,ITM-808092,C1097,6.0,115.8,694.8
TX0153,2025-02-08,West,Beauty,Makeup,ITM-775926,C1107,7.0,63.57,444.99
TX0027,2025-03-10,East,Grocery,Pasta,ITM-737790,C1046,1.0,15.09,15.09
TX0142,2025-03-23,North,Grocery,Coffee,ITM-931156,C1996,3.0,23.18,69.54
TX0154,2025-05-09,Central,Electronics,Headphones,ITM-224591,C1875,1.0,351.91,351.91
TX0104,2025-01-08,Central,  Beauty  ,Shampoo,ITM-935279,C1839,6.0,46.99,281.94
TX0189,2025-01-09,South,Beauty,Shampoo,ITM-144036,C1343,3.0,9.23,27.69
TX0125,2025-04-01,West,Clothing,Sneakers,ITM-262421,C1292,6.0,14.46,86.76
TX0004,2025-05-12,East,Grocery,Coffee,ITM-375553,C1001,5.0,22.68,error
TX0111,2025-01-14,North,Electronics,Smartwatch,ITM-930351,C1591,2.0,233.48,466.96
TX0045,2025-02-16,  Central  ,Home Goods,Chair,ITM-977042,C1918,1.0,192.13,192.13
TX0218,2025-04-15,,Grocery,Pasta,ITM-510184,C1891,4.0,18.0,72.0
TX0206,2025-04-26,Central,Electronics,Headphones,ITM-956636,C1940,4.0,436.12,1744.48
TX0175,2025-05-13,West,Electronics,Tablet,ITM-690073,C1226,2.0,242.99,485.98
TX0083,2025-02-06,West,Grocery,  Cereal  ,ITM-922376,C1170,3.0,14.9,44.7
TX0189,2025-01-09,South,Beauty,Shampoo,ITM-486350,C1343,3.0,9.23,27.69
TX0151,2025-05-29,South,Beauty,Fragrance,ITM-702251,C1994,4.0,37.33,149.32
TX0205,2025-06-28,Central,Home Goods,Lamp,ITM-235370,C1948,2.0,117.07,105.36
TX0171,2025-01-12,West,Home Goods,Bedding,ITM-544709,C1585,3.0,101.86,305.58
TX0041,2025-02-02,East,Clothing,T-Shirt,ITM-866565,C1373,5.0,30.15,150.75
TX0007,2025-05-31,West,Clothing,T-Shirt,ITM-398783,C1573,5.0,77.75,388.75
TX0137,2025-06-22,Central,Home Goods,Bedding,ITM-644026,C1955,1.0,92.02,41.41
TX0223,2025-04-21,West,Clothing,T-Shirt,ITM-102866,C1306,6.0,50.64,303.84
TX0082,2025-03-23,North,Home Goods,Bedding,ITM-326256,C1222,3.0,110.22,330.66
TX0145,2025-06-09,North,Home Goods,Bedding,ITM-441678,C1939,3.0,145.97,437.91
TX0113,2025-03-19,West,Clothing,Sneakers,ITM-103358,C1641,4.0,84.11,336.44
TX0182,2025-03-12,East,Grocery,Cereal,ITM-248441,C1717,4.0,15.39,61.56
TX0273,2025-02-13,Central,Grocery,Pasta,ITM-228652,C1540,unknown,34.5,69.0
TX0280,2025-01-13,North,Grocery,Cereal,ITM-161602,C1880,3.0,20.21,60.63
TX0073,2025-01-20,West,Clothing,T-Shirt,ITM-328931,C1260,2.0,79.17,158.34
TX0077,2025-02-05,East,Beauty,Shampoo,ITM-623562,C1370,7.0,86.41,604.87
TX0156,2025-02-25,West,Clothing,Sneakers,ITM-630799,C1210,3.0,44.3,
TX0172,2025-01-12,East,Home Goods,Bedding,ITM-204188,C1385,6.0,94.47,566.82
TX0215,2025-05-17,West,Clothing,T-Shirt,ITM-604677,C1922,5.0,91.92,459.6
TX0085,bad_date,  North  ,Electronics,Laptop,ITM-662422,C1375,8.0,357.41,2859.28
TX0213,2025-03-20,East,Grocery,Cereal,ITM-645210,C1021,6.0,20.44,122.64
TX0025,,East,Clothing,Sneakers,ITM-435064,C1829,5.0,96.87,484.35
TX0091,2025-01-06,Central,Clothing,Jacket,ITM-650242,C1215,6.0,59.83,358.98
TX0270,2025-03-08,North,Electronics,Tablet,ITM-334000,C1850,8.0,253.38,2027.04
TX0209,,Central,Home Goods,Lamp,ITM-548377,C1264,3.0,98.52,295.56
TX0047,2025-03-25,East,Home Goods,Bedding,ITM-728423,C1983,8.0,151.01,1208.08
TX0134,2025-06-03,Central,Home Goods,Chair,ITM-431927,C1195,3.0,66.18,89.34
TX0148,2025-02-05,South,Beauty,Fragrance,ITM-380926,C1381,6.0,32.28,193.68
TX0176,2025-05-11,West,Clothing,T-Shirt,ITM-643597,C1587,6.0,66.77,400.62
TX0282,2025-03-28,North,Electronics,Smartwatch,ITM-337069,C1919,6.0,250.19,1501.14
TX0055,2025-03-09,North,Beauty,Lotion,ITM-848692,C1786,8.0,44.87,358.96
TX0207,2025-01-22,West,Grocery,Cereal,ITM-972639,C1348,2.0,24.02,48.04
TX0088,2025-05-25,West,Beauty,Shampoo,ITM-170021,C1215,6.0,53.57,321.42
TX0067,2025-02-18,West,Grocery,Cereal,ITM-816773,C1966,6.0,17.11,102.66
TX0107,2025-06-08,North,Beauty,Lotion,ITM-120389,C1953,4.0,24.45,97.8
TX0038,2025-06-13,East,Home Goods,Lamp,ITM-596005,C1226,2.0,109.98,219.96
TX0263,2025-05-06,Central,Grocery,Cereal,ITM-202421,C1234,2.0,22.46,44.92
TX0260,2025-01-27,West,Home Goods,Lamp,ITM-383028,C1311,4.0,83.64,334.56
TX0013,2025-03-28,East,Home Goods,Cookware,ITM-809560,C1996,6.0,119.46,716.76
TX0066,2025-06-11,West,Clothing,T-Shirt,ITM-835415,C1346,5.0,44.07,220.35
TX0010,2025-04-18,West,Home Goods,Chair,ITM-906124,C1555,3.0,148.83,446.49
TX0256,2025-04-01,South,Grocery,Cereal,ITM-915864,C1749,11.0,20.76,228.36
TX0290,2025-03-27,East,Grocery,Cereal,ITM-149420,C1515,2.0,26.22,52.44
TX0163,2025-02-10,West,Grocery,Apples,ITM-259892,C1181,5.0,17.38,86.9
TX0025,2025-04-27,East,Clothing,Sneakers,ITM-259882,C1829,5.0,96.87,484.35
TX0254,2025-04-02,Central,,Jacket,ITM-962318,C1784,6.0,59.53,357.18
TX0262,2025-01-29,East,Electronics,Tablet,ITM-517582,C1238,6.0,361.31,2167.86
TX0227,2025-01-15,South,Clothing,T-Shirt,ITM-794379,C1735,3.0,52.34,157.02
TX0120,2025-06-03,East,Clothing,Jeans,ITM-328129,C1664,4.0,81.79,327.16
TX0284,2025-04-14,North,Electronics,Tablet,ITM-935655,C1971,,,1139.0
TX0264,2025-01-11,East,Grocery,Pasta,ITM-338245,C1205,3.0,19.88,59.64
TX0119,2025-04-09,North,Home Goods,Lamp,ITM-730270,C1967,3.0,89.02,267.06
TX0180,2025-04-01,South,Clothing,T-Shirt,ITM-524724,C1353,6.0,89.16,534.96
TX0267,2025-06-05,South,Home Goods,Chair,ITM-532829,C1072,3.0,118.4,355.2
TX0203,2025-02-16,West,Home Goods,Cookware,ITM-395920,C1139,6.0,180.16,1080.96
TX0298,2025-06-05,West,Grocery,Coffee,ITM-753881,C1472,8.0,14.18,113.44
TX0049,2025-01-22,West,Clothing,Jacket,ITM-470608,C1404,5.0,41.76,208.8
TX0017,2025-04-22,North,Electronics,Tablet,ITM-770909,C1509,11.0,351.17,3862.87
TX0127,2025-06-02,West,  Grocery  ,Apples,ITM-961465,C1769,5.0,18.87,94.35
TX0236,2025-05-27,East,Home Goods,Chair,ITM-993659,C1111,5.0,109.83,549.15
TX0187,2025-03-02,West,Home Goods,Bedding,ITM-992015,C1779,4.0,88.64,15000
TX0226,2025-02-26,East,Electronics,Tablet,ITM-380539,C1558,8.0,354.65,2837.2
TX0015,2025-06-17,Central,Electronics,Headphones,ITM-288487,C1639,5.0,352.53,1762.65
TX0165,2025-03-23,East,Beauty,Lotion,ITM-522739,C1249,3.0,37.8,113.4
TX0034,,East,Grocery,Coffee,ITM-562676,C1008,5.0,13.81,69.05
TX0293,2025-03-17,Central,Clothing,Sneakers,ITM-371604,C1427,unknown,92.82,649.74
TX0031,2025-05-18,Central,Clothing,Sneakers,ITM-356505,C1868,7.0,47.55,332.85
TX0157,2025-02-07,East,Clothing,Jeans,ITM-739104,C1941,2.0,52.01,104.02
TX0086,2025-02-08,Central,Electronics,Laptop,ITM-520539,C1439,5.0,317.34,1586.7
TX0081,2025-01-16,South,Grocery,Coffee,ITM-681177,C1710,9.0,18.27,164.43
TX0002,2025-06-19,West,Clothing,Jeans,ITM-397698,C1475,,50.61,253.05
TX0118,2025-02-23,North,Clothing,Jacket,ITM-878776,C1454,9.0,53.31,479.79
TX0219,2025-05-17,North,Clothing,Jacket,ITM-916698,C1727,6.0,66.55,399.3
TX0133,2025-05-31,East,,Lamp,ITM-370146,C1113,5.0,201.18,1005.9
TX0272,2025-02-17,North,Electronics,Smartwatch,ITM-422137,C1408,3.0,224.26,672.78
TX0009,2025-01-13,North,Clothing,T-Shirt,ITM-556843,C1159,unknown,40.69,203.45
TX0019,2025-02-17,South,Grocery,Pasta,ITM-584672,C1658,13.0,23.75,308.75
TX0181,2025-03-29,Central,Beauty,Shampoo,ITM-567927,C1269,3.0,48.79,146.37
TX0129,2025-01-13,East,Clothing,Jeans,ITM-984671,C1560,6.0,84.08,504.48
TX0274,2025-03-31,South,Beauty,Makeup,ITM-608069,C1803,4.0,20.85,83.4
TX0246,2025-04-23,Central,  Electronics  ,Laptop,ITM-342934,C1011,7.0,302.66,2118.62
TX0022,2025-03-07,Central,Electronics,Tablet,ITM-676553,C1799,10.0,475.06,4750.6
TX0006,2025-03-06,Central,Beauty,Shampoo,ITM-846760,C1856,4.0,60.86,243.44
TX0058,2025-01-05,East,Clothing,Jeans,ITM-715486,C1850,4.0,69.76,279.04
TX0271,2025-04-06,South,Beauty,Fragrance,ITM-880277,C1858,2.0,23.21,46.42
TX0210,2025-03-24,Central,Electronics,Headphones,ITM-947084,C1122,4.0,393.74,1574.96
TX0099,2025-01-25,Central,Beauty,Lotion,ITM-636785,C1791,4.0,44.32,177.28
TX0090,2025-05-13,Central,Grocery,Coffee,ITM-327579,C1175,3.0,18.75,56.25
TX0221,2025-03-31,North,Beauty,Makeup,ITM-326817,C1229,5.0,32.11,160.55
TX0149,2025-01-13,North,Beauty,Shampoo,ITM-440401,C1692,3.0,40.37,121.11
TX0196,2025-06-06,South,Home Goods,Lamp,ITM-932359,C1201,5.0,159.43,797.15
TX0072,2025-05-27,West,Electronics,Tablet,ITM-484370,C1547,3.0,223.02,669.06
TX0275,2025-05-19,South,Electronics,  Laptop  ,ITM-702960,C1206,7.0,362.35,2536.45
TX0068,2025-06-28,South,Electronics,Laptop,ITM-101051,C1890,4.0,231.28,925.12
TX0128,2025-01-24,North,Grocery,Pasta,ITM-338483,C1699,,,42.87
TX0144,2025-01-10,South,Home Goods,Cookware,ITM-377785,C1241,9.0,179.91,1619.19
TX0071,2025-05-24,North,Electronics,Smartwatch,ITM-178116,C1451,10.0,326.89,3268.9
TX0285,2025-01-12,North,Grocery,Cereal,ITM-341084,C1295,2.0,17.6,35.2
TX0140,2025-02-21,East,Electronics,Smartwatch,ITM-280494,C1419,5.0,295.86,1479.3
TX0231,2025-03-29,North,Grocery,Apples,ITM-543258,C1753,4.0,20.93,83.72
TX0300,2025-04-21,North,Clothing,T-Shirt,ITM-559158,C1000,5.0,74.03,370.15
TX0075,2025-05-26,East,Grocery,Apples,ITM-619385,C1127,6.0,22.03,132.18
TX0158,2025-02-24,South,Electronics,Tablet,ITM-600981,C1499,4.0,191.53,766.12
TX0224,2025-04-08,North,  Home Goods  ,Cookware,ITM-212669,C1225,3.0,143.69,431.07
TX0286,2025-02-09,South,Grocery,Coffee,ITM-342318,C1985,8.0,11.38,error
TX0066,2025-06-11,West,Clothing,T-Shirt,ITM-613953,C1346,5.0,44.07,220.35
TX0040,2025-06-04,South,Electronics,Headphones,ITM-113233,C1501,4.0,487.32,1949.28
TX0291,2025-04-09,Central,Clothing,Sneakers,ITM-699792,C1939,5.0,41.47,207.35
TX0261,2025-03-21,Central,Clothing,Jeans,ITM-367598,C1096,6.0,67.07,402.42
TX0244,2025-06-26,Central,Electronics,Laptop,ITM-558222,C1167,5.0,309.61,1548.05
TX0039,2025-06-01,North,Beauty,Fragrance,ITM-800757,C1667,5.0,31.54,157.7
TX0117,2025-03-04,South,Beauty,Lotion,ITM-307596,C1584,4.0,54.58,218.32
TX0098,2025-01-21,East,Beauty,Shampoo,ITM-626249,C1302,5.0,36.54,182.7
TX0114,2025-06-10,Central,Grocery,Cereal,ITM-908985,C1690,3.0,18.9,56.7
TX0237,2025-06-26,East,Clothing,Sneakers,ITM-824857,C1470,6.0,68.88,413.28
TX0023,2025-03-11,South,Clothing,Jeans,ITM-116061,C1782,2.0,61.64,123.28
TX0155,2025-03-27,East,Beauty,Fragrance,ITM-692054,C1233,5.0,70.05,350.25
TX0160,2025-02-16,South,Grocery,Apples,ITM-366909,C1970,6.0,18.53,111.18
TX0139,2025-05-29,North,Beauty,Lotion,ITM-213776,C1328,6.0,36.56,219.36
TX0269,2025-05-08,East,Home Goods,Chair,ITM-220592,C1559,1.0,108.59,108.59
TX0026,2025-04-27,North,Clothing,Jacket,ITM-553222,C1896,4.0,70.1,280.4
TX0184,2025-03-03,South,Grocery,Apples,ITM-749285,C1880,9.0,11.68,105.12
TX0014,bad_date,South,Grocery,Coffee,ITM-848423,C1608,10.0,20.03,200.3
TX0146,2025-05-13,  West  ,Beauty,Lotion,ITM-368449,C1147,2.0,47.77,95.54
TX0201,2025-01-21,East,Clothing,  T-Shirt  ,ITM-677880,C1299,6.0,67.94,407.64
TX0248,2025-05-28,West,Grocery,Pasta,ITM-745976,C1028,7.0,17.06,119.42
TX0059,2025-06-28,Central,Home Goods,Lamp,ITM-527858,C1636,2.0,150.49,135.44
TX0234,2025-03-09,North,Beauty,Fragrance,ITM-746012,C1960,8.0,35.99,287.92
TX0199,2025-02-04,West,Electronics,Tablet,ITM-549777,C1086,3.0,190.94,572.82
TX0065,2025-06-24,Central,Grocery,Apples,ITM-242482,C1968,4.0,15.03,60.12
TX0249,2025-06-26,South,Electronics,Headphones,ITM-601323,C1203,5.0,388.2,1941.0
TX0212,2025-01-19,East,Beauty,Fragrance,ITM-343767,C1312,2.0,48.87,97.74
TX0053,2025-03-24,North,Beauty,Lotion,ITM-254455,C1553,7.0,39.75,
TX0100,2025-01-24,North,Home Goods,Chair,ITM-525767,C1827,8.0,108.0,864.0
TX0035,,West,Electronics,Tablet,ITM-550983,C1421,1.0,405.25,405.25
TX0079,2025-01-17,West,Grocery,Cereal,ITM-326572,C1640,3.0,14.05,42.15
TX0296,2025-03-17,West,Beauty,Lotion,ITM-764635,C1176,6.0,42.14,252.84
TX0121,2025-05-31,Central,Home Goods,Bedding,ITM-892130,C1618,4.0,155.79,280.42
TX0185,2025-05-17,South,Clothing,Sneakers,ITM-397584,C1323,5.0,26.16,130.8
TX0297,2025-03-22,Central,Home Goods,Lamp,ITM-768629,C1949,3.0,206.78,620.34
TX0168,2025-04-08,Central,Beauty,Makeup,ITM-113780,C1576,7.0,73.72,516.04
TX0208,2025-01-30,East,,Tablet,ITM-986788,C1646,8.0,367.31,2938.48
TX0070,2025-02-01,East,Grocery,Coffee,ITM-701206,C1177,3.0,9.55,error
TX0188,2025-06-26,Central,Grocery,Apples,ITM-680971,C1652,6.0,16.89,101.34
TX0174,2025-04-12,Central,Home Goods,Cookware,ITM-927385,C1505,4.0,169.43,304.97
TX0029,2025-05-08,South,Grocery,Cereal,ITM-478336,C1159,5.0,9.38,46.9
TX0136,2025-03-21,North,Beauty,Makeup,ITM-318306,C1821,5.0,46.8,234.0
TX0132,2025-04-14,Central,Home Goods,Bedding,ITM-918386,C1247,2.0,133.43,120.09
TX0276,2025-06-22,East,Home Goods,Cookware,ITM-874639,C1991,8.0,169.74,1357.92
TX0166,2025-04-30,South,Grocery,Apples,ITM-695376,C1895,8.0,24.43,195.44
TX0217,2025-05-20,South,Beauty,Makeup,ITM-963428,C1292,5.0,36.3,181.5
TX0043,2025-02-20,Central,Electronics,Headphones,ITM-780428,C1684,5.0,340.22,1701.1
TX0024,2025-04-19,Central,Grocery,Pasta,ITM-551442,C1991,3.0,27.36,82.08
TX0092,2025-01-23,Central,Electronics,Smartwatch,ITM-810381,C1425,8.0,271.68,2173.44
TX0247,2025-04-22,South,Home Goods,Bedding,ITM-232659,C1488,4.0,price_missing,654.96
TX0183,2025-04-30,South,Home Goods,Cookware,ITM-378404,C1819,3.0,101.24,303.72
TX0088,2025-05-25,West,Beauty,Shampoo,ITM-302834,C1215,6.0,53.57,321.42
TX0042,2025-04-09,Central,Home Goods,Chair,ITM-583236,C1510,3.0,81.59,
TX0101,bad_date,North,Electronics,Tablet,ITM-880734,C1273,6.0,497.43,2984.58
TX0299,2025-03-22,East,Electronics,Smartwatch,ITM-222672,C1935,6.0,427.81,2566.86
TX0095,2025-03-09,West,Home Goods,Bedding,ITM-835226,C1730,5.0,118.38,591.9
TX0076,2025-01-27,East,Grocery,Coffee,ITM-483152,C1824,4.0,20.45,81.8
TX0032,2025-01-17,North,Grocery,Cereal,ITM-731516,C1880,9.0,17.87,160.83
TX0191,2025-06-24,South,Grocery,Apples,ITM-607994,C1726,6.0,21.05,126.3
TX0192,2025-05-23,North,Clothing,Jacket,ITM-780465,C1040,5.0,76.37,381.85
TX0094,2025-04-19,West,Clothing,Sneakers,ITM-851287,C1674,1.0,73.05,73.05
TX0046,2025-02-07,Central,Beauty,Shampoo,ITM-432597,C1305,2.0,55.29,110.58
TX0162,2025-03-10,East,Clothing,Jacket,ITM-386073,C1348,4.0,93.74,374.96
TX0281,2025-01-03,,Clothing,T-Shirt,ITM-303117,C1207,1.0,81.99,81.99
